mendemobilisasikan	demobilize||1
bermain	play||1 plays||1 playing||1 pitching||1 played||1
ketua kader cenderung berganti-ganti bertahan lama	cadre||1
rumah kaca	greenhouse||1
italia menyajikan hidangan italia	italy||1
andai demikian halnya ular akan dimangsa	snakes||1
mayoritas	majority||1
terlontar aparat	authorities||1
atau maka pama	pama||1
hoover berada	hoover||1
pembicaraan-pembicaraan	talks||6
tranfusi	transfusion||2 transfusions||1
germain	germain||9
cat kuku semua kuku berantakan	messy||1
bertindak sebagai penghubung	liaise||1
pertandingannya membukukan ace	aces||1
mengadakan sejumlah spring dana	spring||1
cahayanya	light||1
secara statistik siginifikan	statistically||1
pembayaran baik-baik saja	payments||1
menjamin objektivitas	objectivity||1
para penjara	prison||1
alfredo florez	florez||1
perbaikan m&e	improvements||1
ditambahkannya kedelapan	adding||1
hanya dihiasi jarum	needles||1
bentuk pajak	taxes||1
erat	close||6 closely||14 tightly||7
gagang pancuran air mandi	shower||1
suasana berbeda	atmosphere||1
portofolio pengiriman portofolio	portfolios||1
lebih suram darinya	drearier||1
proses reproduksi	reproduction||1
tim provence itu tempat	provence||1
bajak	plow||1
brigade	brigades||1
musim hujan	monsoon||1
resmi iran irna	irna||1
menjamin aturan	guarantee||2
trial wasit  merupakan	referees||1
daerah luas wilayah daerah penelitian luas wilayah	area||1
posisi direktur	chief||1
berbahan plastik	plastic||1
singkil provinsi	singkil||1
mustahil dilaksanakan	impossible||1
di antaranya tertarik 	interested||1
ucapan kelakuan saudara seiman haruslah kesatuan	oneness||1
guru buruk terkadang memukul guru guru jam pelajaran	occasionally||1
menggunakan gerilya	guerrilla||1
pribadi sebesar apa pun	person||1
ia sakit	sick||1
menunda pertarungan wachirattanawong seperti	wachirattanawong||1
cpal merupakan pemegang	cpal||1
suratkabar harian	daily||1
buah kerja	fruits||1
komputing	computing||1
mendekati rekor	near-record||1
memprediksi	predict||1 forecasting||1 predicting||1 predicted||1 predicts||1
tapi setelah sudah tak bersenjata nyawanya kata	disarmed||1
siomay	dumplings||1
mencapai arah sana	reach||1
saham mereka saham	share||1
berkeringat	sweating||1 sweat||1
balas dendam	revenge||1
direktorat informasi	information||1
masa berjalannya	period||1
gaji diterima	salary||1
palestina jabalya	jabalya||1
register	registers||2
peluang memperoleh	opportunities||1
mencambuk bagian	whip||1
mulia menghapuskan dosa	precious||1
ketiga klasifikasi	classifications||1
fundamental	fundamentals||3 fundamental||15
memungkinkan luggable menciut sebenarnyasekalipun awalnya	luggable||1
metode principal	principal||3
sementara operasionalnya	temporarily||1
pertandingan persahabatan	friendly||1
match play momentum sebaiknya awal permainan menyia-nyiakan pukulan tiap	match||1
as george	george||1
dapat berarti tahun kemakmuran	prosperity||1
diperkirakan sebesar	estimated||1
televisi	tv||1 televisions||1 television||1 televised||1 channel||1
penyumbang	contributor||1
ppm dasarnya	ppm||1
komoditas relatif sedikit diatur memang	regulated||1
iuran	dues||1 fees||1
secara konsisten ideal	consistently||1
anggota kelompok militan	militants||1
telepon pintar	phone||1
manajerial bergerak	managerial||1
maka interval digunakan dipilih	selected||1
sendirinya	themselves||1 itself||1
pihak isteri	wives||1
prasyarat harus mendapat	prerequisite||1
hadapi membuat kita bersukacita	rejoice||1
ditinggalkan	deserted||1 forsaken||1 abandoned||1 left||1
bakso	meatball||1
terlihat tabel	tables||1
bakal laga bakal tampil memperkuat timnya ia tulang metatarsal	metatarsal||1
berpendapat jikalau sekorup	contends||1
menebal	thicken||1
orang syiah	shiite||1
minyak kenaikan minyak	oil||1
mendukung hal 	it||1
hutang mereka 	debt||1
kekerabatan	kinship||1
holding company	holding||1
saingannya percintaan pria juga astronot demikian dilaporkan media selasa	astronaut||1
ataupun telekomunikasi tempat	telecommunications||1
beberapa seri	series||1
pemisahan antara materi	separation||1
menimbulkan	acute||1 raised||5 pose||2 raise||3 triggered||2 prompting||1 caused||13 create||5 sparked||2 rise||7 causing||10 incur||1 raises||2 descended||1 cause||15 generate||5 precipitated||1 generates||1
al-tikriti saudara tiri	al-tikriti||1
pelita	lamps||1
individual partisipasi langsung corak	participation||1
takutlah akan	fear||1
merefleksikan	reflect||11 reflecting||11 reflected||5 reflects||16
anak perempuan mereka perempuan mereka	daughters||1
munculnya hazard	hazard||1
berkorban	sacrifice||1
molekul	molecular||1 molecule||1 molecules||1
bijaksana mempercayai merenungkan apa reaksi zaman berubah-ubah	wise||1
penggundulan penggundulan hutan disinyalir banyak dilakukan secara	denudation||1
orang berdosa golongan	sinners||1
sekarang ambil keluarkan lubang pakunya	hole||1
murid-murid-nya sebut sebagai pengharapan	hope||1
angka-angka	figures||1 numbers||1
terus sementara berusaha terus meningkatkan penumpasan	crackdown||1
rumput laut per	seaweed||1
pensiun	retirement||1 retired||1 retiring||1 retire||1 pensions||1 pension||1
pengusaha teri	entrepreneur||1
serangan liar	wild||1
hanyalah flu	flu||1
detail  mengenai	detailed||1
pemicunya	trigger||2
otoritasnya pasukan amfibi	amphibious||1
genom	genome||1
pengunjuk rasa menghalangi membentang sepanjang niaga	obstruct||1
pembentukan matahari	sun||1
timnas raffaele	raffaele||1
dosen	lecturer||1 lecturers||1 professor||1 teachers||1
di balik mengenai laksana	behind||1
mendapat mandat	mandate||1
merupakan kebalikan teater	theater||1
amat keras jeff melakukannya	jeff||1
jenis pinus	pines||1
mengundang le thai	invited||1
kecil pemegang berada prioritas	priority||1
upacara pemakaman terhadap	funeral||1
turnamen	tournament||1 tournaments||1 event||1
kita kepada-nya	him||1
petzschner membuat pertandingan berlangsung	petzschner||1
pengarahan	briefing||1 directives||1
memusatkan	focused||1 focus||4
belanja alat tulis kantor	stationery||1
kecolongan	conceded||1
dibandingkan pertumbuhan terbesar adalah pengangkutan-komunikasi persen listrik-gas-air sektor perdagangan-hotel	percent||1
meminjamkan	lending||3 lent||3 loan||2 lend||1
kerang	shell||1 shellfish||1 shells||1
enam negara dicapai	six-nation||1
mematenkan	patented||1
dapat diterima secara sosial 	acceptable||2
memberitahu para	notifying||1
resesi	recession||39
berpeluang hanya wilayah kemayoran	kemayoran||1
dosis jika memberi efek maka inilah	dosages||1
penilaian para kurir subgrup	couriers||1
adakalanya	sometimes||1
bertemu associate	associate||1
jh secepat mungkin kurter	jh||1
masyarakat perwakilan perserikatan bangsa-bangsa	societies||1
diperkenankan	allowed||1
schottler seluruh staf	schottler||1
berubah-ubah sesuai	depending||1
melakukan sensor atas materi	censor||1
berlainan sifat	properties||1
pembunuhan-pembunuhan	murders||1 killings||1
terus terjadi	continued||1
kebenaran karena yaitu kebenaran	righteousness||1
kapitalisasi pasar kapitalisasi	capitalization||1
kontraktor	contractor||26 contractors||17
mempunyai pendapat berbeda	differing||1
ruang semprot	chamber||1
melihat kesesuaian	seeing||1
paparan	continuous||1
pemberian harus dibayar pihak mana kecuali	giving||1
pengurangan seperti memilikinya sehingga pengurangan	like||1
isolasi	isolation||1
vakarai mengakibatkan	vakarai||1
hakiki	essential||1
bersikap jujur terhadap	honest||1
ancaman hukuman penjara seumur	prison||1
bersifat teoretis	theoretical||1
peringkat katanya	rating||1
lithium diujicoba	lithium||1
mengenai sisi negatif halaman sekolah pertanyaan	negativity||1
menyediakan antara lain	supplied||1
melorot	dropped||1 slipped||3
nomor prolog	prologue||1
akibat penyergapan	ambush||1
mengutip nara	citing||1
jet	jets||2
eksplorasi eksplorasi nikel	exploration||1
dibuktikan dulu	proven||1
atasi	overcome||1
pembuat pakaian chetta berkata	chetta||1
paling jenis rheobatrachus	rheobatrachus||1
jaksa agung	attorney||4 attorney-general||2
para menteri	ministers||1
ditemukan spada	spada||1
qin surat kabar	qin||1
bantuan pupuk	fertilizer||1
website polri pun diubah halaman mukanya	polri||1
kamera-kamera	cameras||1
mempunyai tunggakan/tagihan	arrears||1
mustafa ragam selain	mustafa||1
program percontohan	pilot||2
menumpas	quell||2
sang penolong	helper||1
adalah acara ec acara	ec||1
elche melalui	elche||1
menempuh rute perjalanannya melanggar panduan-panduan perjalanan	trek||1
kata meles	meles||3
hanya	just||18 merely||33 but||3 only||9 simply||41 alone||5 solely||14 mere||6
mya dulu	mya||1
pergerakan	move||3 movement||26 movements||10
firasat	inkling||1
melihat rute	routes||1
oleh persamaan	equation||1
drury penyelesaiannya angka	drury||1
anak domba layak menerima kuasa	lamb||1
multinasional ditandatangani	multinational||1
pusat mengunjungi sebuah gerai kaos	t-shirt||1
berbahan daging kambing	mutton||1
masalah program	programmes||1
risiko amat akibat demokratis	democratic||1
sejujurnya	frankly||1
maka mata uang lokal dinilai paling aman ucapnya	safest||1
merampok pemerintah	robbing||1
pengeras suara mengandung pesat	loudspeakers||1
pemeriksa pemeriksa	examiner||1
prospektusnya dipublikasikan jakarta selasa diterbitkan seri	series||1
berulangkali	repeatedly||1
nah soal mana	which||1
penjualan computerland keberadaan	computerland||1
rejo gresik sebagai desa	rejo||1
rincian sraa kepala daerah	sraa||1
kegiatan seperti lelah cenderung	fatigue||1
internal	internal||7
kallang tepat central business district	kallang||1
terpintar bagian dangkal siapa pun hatinya tulus	shallow||1
keuntungan sendiri	benefit||1
utama georgeson	georgeson||1
yaitu mazmur	psalm||1
sekutu terdekatnya	ally||1
ansari tpt	tpt||1
membiarkan meninggalkan kepunyaan-nya	forsake||1
pembatasan batas	limit||1
tampak semakin kecil	smaller||1
kemiskinan	poor||1 poverty||1
auto workers melukai perasaan	auto||1
little india	india||1
jalan-raya rabu pasukan isaf pimpinan nato	force||1
umumnya peserta peserta	participants||1
persetujuan	accord||13 consent||1 agreement||58 agreements||6 approval||76 concession||1
menjalani	serving||1 undergoing||1 underwent||1 had||1 live||1 lived||1 undergo||1
inikah jepang 	japan||1
jadi dinaikkan	raised||1
lembaga milik pemerintah ndiaye	ndiaye||1
depresiasi para	depreciation||1
pengertian masyarakat	public||1
memicu munculnya	triggered||1
anderson keduanya	anderson||1
enzim	enzymes||4 enzyme||9
corporate (rencana orang perusahaan)	corporate||1
hamil	pregnancy||1 conceive||1 pregnant||1
kedokteran salt	salt||1
lihatlah vc masuk	vc||1
passbook savings account interest-bearing bunga	interest-bearing||1
golf	golf||12
dirinya sendiri	herself||1 themselves||1 himself||1 itself||1
tesalonika	thessalonica||1
mengidentifikasi result	identifying||1
payoh stadium	payoh||1
liga jerman bundesliga	bundesliga||1
ditutupi sebagian	partially||1
irak hussein	hussein||1
cara melakukan	conducting||1
pengamatan terhadap kemudian	observations||1
reformasi mendasar	fundamental||1
berhasil menyelesaikan	completed||6
antara lain meliputi	include||1
palsu	counterfeit||1 false||1 phony||1 fake||1
komik dengan judul zuckerberg	zuckerberg||1
al-buzayi	buzayi||1
phineas foggs	phineas||1
kado	gift||1
mengungkapkan karakter	reveal||1
kontestan	contestants||1 contests||1
yang memberikan	gives||1
pensiun manfaat sistem pensiun	pensions||1
kepadamu sesungguhnya juga engkau ada bersama-sama firdaus	paradise||1
ternak potong	livestock||1
memastikan pesanan-pesanan	secure||1
oswald memberiku menentukan standar-nya	oswald||1
selandia	zealand||1
boullaire	bouillaire||1
mesti tempat lain mendapatkan	elsewhere||1
bangun menyerupai	resembling||1
the response halting the spread meningkatkan tanggapan	response||1
dihadapi kud adalah dilakukan preman	thugs||1
mengambilalih porsi cpal	cpal||1
business soho	soho||1
diuntungkan oleh ditemukannya tambang dikelola oleh masyarakat	mines||1
bersifat saling melengkapi	complementary||1
para pedagang pengumpul pedagang	merchants||1
mengingatkan akan semuanya	reminding||1
segregasi	segregation||1
pabrikan	factory||11 manufacturers||2
beberapa peluang	chances||1
computer rumit database	databases||1
i. mangunkusumo pengumumannya	mangunkusumo||1
crt	crts||4
pijar	fluorescent||1 filament||1
danau danau	lake||1
basra irak selatan	basra||1
pasangan induk memberi makan sang	feed||1
kosmopolitan singapura	cosmopolitan||1
jatuh debat bapak	fallen||1
cacat saat lahir	defects||1
kudeta terakhirnya mendalangi merjer	coup||1
emas	golden||1 gold||1
penuntut	prosecutors||1
jadi	thus||1 so||1 therefore||1 be||9
kapadze mencetak beberapa saat	kapadze||1
akibatnya	causing||1 consequently||1
merobek sel mengeluarkan isinya	cells||1
tertawa	laughs||1 laughter||1 laughing||1 laugh||1 laughed||1
filipi	philippi||5
diselewengkan	squandered||1
manufaktur kanada	manufacturers||1
mignanelli divisi	mignanelli||1
menjawab	responding||1
kedokteran menanti kelulusan	wait||1
sejumlah komputer beberapa	computers||1
mencetak pukulan memukul sebanyak sekali	hits||1
berhala berbalik	idols||1
diminta menyediakan	required||1
al-shemari adalah	al-shemari||1
guinea	guinea||1
guru tunjangan profesi	allowance||1
pemegang surat	holders||1
berada ambang	brink||1
pengalamannya dave	dave||1
simpati kepada kerabat tertimpa	sympathies||1
berdoalah segala	pray||1
sehingga menghasilkan gol agregat	aggregate||1
menampakkan bias	gradation||1
kali diantar	twice||1
memodernkan	modernize||1
sangat jarang	rarely||1
potasium	potassium||2
bahwa migrasi disebabkan burung bermigrasi	migration||1
coba pikirkan	think||1
cacing	worm||2
car dibantu	aided||1
anggota miskin	poor||1
cocok para pencuri aman	thieves||1
menjalani hidupnya	life||1
margarin promise	margarine||1
mengalir kuat	flowing||1
kontras artistiknya tempat mukim orang-orang	habitats||1
ditemui	met||4
component analysis atau komponen	component||2
membantu rtsm	helpful||1
sertifikat pendidik	certificate||10
spada yakni	spada||1
per yoy mencapai anggaran pendapatan belanja	budgets||1
umumnya	mostly||1 typically||4 average||1 generally||1 commonly||10 general||26 usually||1 normally||1 naturally||1
informix baru saja bersihnya	informix||1
sawah atau ladang	fields||1
measure  miliknya	measure||1
hanya hari minggu seperti biasa	sunday||1
keempat orang kusta tetap	lepers||1
perhatianmu	attention||1
kalangan pemda menyatakan sikap kekurangpuasannya	circles||1
jarak meter .	metres||1
kitson membawa	kitson||1
terlibat penyelamatan	rescue||1
sarang madu	honeycomb||5
dua minggu	two-week||1
konglomerat	conglomerate||1 conglomerates||1
kanal dimasuki	canals||1
kesehatan kesehatan	health||7 healthcare||3
kabupaten lebih semata-mata menyangkut	districts||1
warga	redistribute||1 people||1 resident||1 citizens||1 person||1 citizen||1 residents||1 nationals||1 soviets||1 civilians||1
langsung menggeser kedua spacesuit setinggi	spacesuit||1
aman membiayai	secure||1
asal prancis	french||1
merupakan refleksi	reflection||3
eukariota yaitu	eucariota||1
champion	champions||1
beruntun kemenangan beruntun	streak||1
diproyeksikan sebesar	projected||2
tiga	three||1 third||1
jajahan	colony||1
si besi	iron||1
data penurunan	decline||1
koneksi terpasang	connections||1
mengambilalih koloni	colony||1
angkatan laut laut	navy||1
sulit diakses	accessible||1
getter tabung-tabung	getter||1
yudhoyono	yudhoyono||19
diprioritaskan	prioritized||1
aksi rupiah pelaku	agents||1
pegawai gaji	salaries||1
wilayah kota	urban||3
histon	histone||1
dua pekan penghujung	two-week||1
desa margasari	margasari||5
versi	version||57 versions||19
keuntungan begitu penting	profit||1
penghancuran	destroying||2 destruction||2
awan-awan kawasan skandinavia	scandinavia||1
perimbangan keuangan	balance||1
kecenderungan terhadap masih kurangnya ketersediaan wilayah penelitian	area||1
direkatkan memperoleh suplai daya	glued||1
kata hindustan	hindustan||1
acara 	events||1
washington menginginkan	wants||1
enzor program trading	enzor||1
celah kembali	gap||1
strategi awal baik terlebih dulu	initial||1
menimbulkan kumulatif	cumulative||1
penghidupan penduduk	livelihood||1
takut menyatakan iman	afraid||1
bagaimana cara	how||1
penyebaran merata	spread||1
kursi	chairs||1 chair||1 seat||1 seats||1
dasar basic	basic||1
terus menggandakan	doubling||1
pendidikannya smeru	smeru||1
liga	league||178
pabrik	plants||39 plant||59 factories||61 manufacturers||7 mills||6 factory||62 mill||4 manufacturing||3 manufacturer||4
langit cerah	sky||1
cangkir	cups||5 cup||1
pemasaran peoleukin	proleukin||1
paket mulai	packages||1
tahap identifikasi	identification||1
para gereja tentang pelayanan	church||1
s praktek tidak sah 	practices||1
pelajar nelson	nelson||1
prospektus tw	tw||1
hasil tetap	fixed-rate||1
mengundang aziz	aziz||1
kondisi stabil	stable||1
spageti	spaghetti||1
caen	caen||7
bartlett tiba tiba	bartlett||1
euro	euros||1 euro||1
ialah menghapuskan	eliminate||1
jika tidak	otherwise||4
kesukuan	tribal||1
disterilkan	sterilized||1
pendiri	founders||6 founding||3 founder||1
batas seperti diajukan	presupposed||1
belakang efisiensi	efficiency||1
seperti bisnis biskuit	biscuit||1
kapan spesimen	specimen||1
wujud joint-management	joint-management||1
kategori bersangkutan	category||2
seraya pembangun	builders||1
